s1_id,match_id,country,s1_name,match_name,s1_addr,match_addr
S1-965667,S2-681193310,US,Maure Williams Colombier Inc,Maure Wilblims Colombier Inc,"85 Wayne Avenue, Ticonderoga, NY",
S1-965667,S2-743505751,US,Maure Williams Colombier Inc,Maure Williams Colombier,"85 Wayne Avenue, Ticonderoga, NY",
S1-965667,S3-775321672,US,Maure Williams Colombier Inc,Dréxkor,"85 Wayne Avenue, Ticonderoga, NY","85 Wanye Avenue, Ticonderoga Townshiip, New York"
S1-965667,S3-11291185,US,Maure Williams Colombier Inc,maurewilliamscolombier.com,"85 Wayne Avenue, Ticonderoga, NY","Wayne Ave, Ticonderoga Townshiip, New York"
S1-965667,S3-860443364,US,Maure Williams Colombier Inc,Maure Williams Inc Center,"85 Wayne Avenue, Ticonderoga, NY",
S1-55344266,S2-249013014,India,Raj Investments LLP,ராஜ் இன்வெஸ்ட்மெண்ட்ஸ் எல்எல்பி,"6(29), C.I.T. Colony, 2Nd Main Road Mylapore, Chennai, Tamil Nadu","6(29), C.I.T. COLONY, 2ND MAIN ROAD MYLAPORE, CHENNAI, Tamil Nadu"
S1-55344266,S2-197070651,India,Raj Investments LLP,Raj Investments LLP,"6(29), C.I.T. Colony, 2Nd Main Road Mylapore, Chennai, Tamil Nadu","6(29), C.I.T. COLONY, 2ND MAIN ROAD MYLAPORE, CHENNAI, Tamil Nadu"
S1-55344266,S3-478195123,India,Raj Investments LLP,Raj Investments எல்எல்பி,"6(29), C.I.T. Colony, 2Nd Main Road Mylapore, Chennai, Tamil Nadu","6(29), C.i.t. Colony, 2Nd Main Road Mylapore, Chennai, TN"
S1-55344266,S3-384364074,India,Raj Investments LLP,ராஜ் இன்வெஸ்ட்மெண்ட்ஸ் எல்எல்பி,"6(29), C.I.T. Colony, 2Nd Main Road Mylapore, Chennai, Tamil Nadu","6(29), C.i.t. Colony, 2Nd Main Road Mylapore, Chennai, தமிழ்நாடு"
S1-343815751,S2-790675320,US,Dahlia Power Reliable Scientific LLC,Dahlia Power Reliable,"630 45th Terrace, Kansas City, MO","KANSAS CITY, MO, 630 45ND TERRACE, null"
S1-343815751,S2-479876582,US,Dahlia Power Reliable Scientific LLC,Dahlia Power Reliable Scientific,"630 45th Terrace, Kansas City, MO","45ND TERRACE, null, KANSAS CITY, MO"
S1-343815751,S3-878454467,US,Dahlia Power Reliable Scientific LLC,Dahlia Ponr Reliable Scientific LLC,"630 45th Terrace, Kansas City, MO","Missouri, 630 45th Terrace, Kansas City"
S1-656753428,S2-153058913,India,Ss Food Private Limited,एसएस फूड प्राइवेट लिमिटेड,"Af-684, Nandgram Near Mother India Public School. Ph. 989, 9487203, Ghaziabad, Uttar Pradesh","AF-0684, NANDGRAM NEAR MOTHER INDIA PUBLIC SCHOOL. PH. 989, GHAZIABAD, 9487203, उत्तर प्रदेश"
S1-656753428,S2-24659151,India,Ss Food Private Limited,एसएस फूड प्राइवेट लिमिटेड,"Af-684, Nandgram Near Mother India Public School. Ph. 989, 9487203, Ghaziabad, Uttar Pradesh","AF-0684, Uttar Pradesh, GHAZIABAD, 9487203"
S1-656753428,S3-679606215,India,Ss Food Private Limited,एसएस फूड प्राइवेट लिमिटेड,"Af-684, Nandgram Near Mother India Public School. Ph. 989, 9487203, Ghaziabad, Uttar Pradesh","Af-684, Ghaziabad, UP"
S1-102811957,S2-478959098,US,Payne Enterprises,Payne Énterprises,"3315 Fremont Street, Peoria, IL","3315 FREMONT ST, PEORIA, IL"
S1-102811957,S2-553508714,US,Payne Enterprises,Payne Enterpires,"3315 Fremont Street, Peoria, IL","3315 FREMONT ST, PEORIA, IL"
S1-102811957,S2-625774905,US,Payne Enterprises,PAYNE-ENRTPRMISES,"3315 Fremont Street, Peoria, IL","3315 FREMONT SAINT, PEORIA, IL"
S1-102811957,S3-728090388,US,Payne Enterprises,Payne Etrepndiels,"3315 Fremont Street, Peoria, IL","3315 Fremont St, Peoria, Illinois"
S1-102811957,S3-928796641,US,Payne Enterprises,Payne Énterprises,"3315 Fremont Street, Peoria, IL","3315 Fremont Street, Peoria, Illinois"
S1-102811957,S3-449308785,US,Payne Enterprises,Payne Enterprises  LLC,"3315 Fremont Street, Peoria, IL","Fremont St, Peoria, Illinois"
S1-18727616,S2-755677256,US,Lumay Boral,Lumay Boral Inc.,"1056 Belden Avenue, Akron, OH","1056-1060 BELDEN AVE, PO BOX 8807, AKRON, OH"
S1-18727616,S3-187831601,US,Lumay Boral,Lumay Bóral,"1056 Belden Avenue, Akron, OH","1056c Belden Ave, AKON, Ohio"
S1-18727616,S3-641489370,US,Lumay Boral,Lumay Boral,"1056 Belden Avenue, Akron, OH","1056c Belden Ave, AKON, Ohio"
S1-18727616,S3-476250621,US,Lumay Boral,Lumay Bóral,"1056 Belden Avenue, Akron, OH","1056c Belden Avenue, AKON, Ohio"
S1-318373630,S2-660036492,India,Red Ventures Private Limited,रेड वेंचर्स प्राइवेट लिमिटेड,"Rajasthan, Jaipur, Banipark, Gokul Apartment, E-3A Kanti Chandra Road, G-1","G-1, BANIPARK, JAIPUR, Rajasthan"
S1-318373630,S3-804600254,India,Red Ventures Private Limited,Red Ventures Private,"Rajasthan, Jaipur, Banipark, Gokul Apartment, E-3A Kanti Chandra Road, G-1","Doro No 316 G-1, Gokul Apartment, E-3a Kanti Chandra Road, Banipark, Subhash Nagar, RJ"
S1-86989137,S3-274817120,India,Laxmi Golden Investments Private Limited,Laxmi Gbn lnvestments Private Limited,"New Bridge Business Centre'S 11Th Floor, N1 Block Embassy Manyata Business Tech Park, Naga, Wara, Bangalore, Karnataka","New Bridge Bssiness Centre's 11Th Floor, N1 Block Embassy Manyata Business Tech Park, Naga, Wara, Bangalore, ಕರ್ನಾಟಕ"
S1-86989137,S3-312496301,India,Laxmi Golden Investments Private Limited,Laxmi Golden Investments,"New Bridge Business Centre'S 11Th Floor, N1 Block Embassy Manyata Business Tech Park, Naga, Wara, Bangalore, Karnataka","New Bridge Buisness Centre's 11Th Floor, N1 Block Embassy Manyata Business Tech Park, Naga, Wara, Bangalore, KA"
S1-29845983,S2-648035184,US,Hendricks and Flowers Inc,Hendricks and  Flowers Inc,"33 Sleepy Hollow Drive, Danbury, CT","CT, SLEEPY HOLLOW DRIVE, DANBURY"
S1-29845983,S3-588502663,US,Hendricks and Flowers Inc,Hendricks and Inc Flowers,"33 Sleepy Hollow Drive, Danbury, CT",
S1-789009573,S2-383871912,India,Hotel Enterprises Limited,होटल एंटरप्राइजेज लिमिटेड,"Wz-187C Shop No.13, 14 Kh. No.47 S/F. Vikaspuri Budhela Village Behind Oxford School, Delhi, West Delhi, Delhi","WZ-187C SHOP NO.13, DELHI, WEST DELHI, Delhi"
S1-789009573,S3-74481402,India,Hotel Enterprises Limited,Hotel Limited Services,"Wz-187C Shop No.13, 14 Kh. No.47 S/F. Vikaspuri Budhela Village Behind Oxford School, Delhi, West Delhi, Delhi","Block B-517 Wz-187c Shop No.13, Divreportingcircle, West Delhi, DL"
S1-789009573,S3-576451439,India,Hotel Enterprises Limited,Hotel Énterprises Limited,"Wz-187C Shop No.13, 14 Kh. No.47 S/F. Vikaspuri Budhela Village Behind Oxford School, Delhi, West Delhi, Delhi","Block B-517 Wz-187c Shop No.13, South West Delhi, Delhi, DL"
S1-730934468,S2-356983532,US,Orellana Investments LLC,Orellana Investments Investments Llc,"728 A Quail Avenue, Fl Ground Floor, Geneva, IA",
S1-730934468,S3-352439310,US,Orellana Investments LLC,LLC Orellana Invsmbens,"728 A Quail Avenue, Fl Ground Floor, Geneva, IA","728 A Quail Avenue, Fl. Ground Floor, Geneva, Iowa"
S1-7293388,S2-7028416,India,Chordia & Partners,Chordia & Partners Company,"Faridabad, 1038 Sector 9, Haryana","हरियाणा, 1038 SECTOR 9, FARIDABAD"
S1-7293388,S2-442723188,India,Chordia & Partners,Chordia + Pagnters - 7306204978,"Faridabad, 1038 Sector 9, Haryana","हरियाणा, DOOR NO 1038 SECTOR 9, FARIDABAD"
S1-7293388,S2-157073701,India,Chordia & Partners,Chordia &-Pártners Ltd,"Faridabad, 1038 Sector 9, Haryana","H.NO 1038 SECTOR 9, FARIABAD, Haryana"
S1-7293388,S3-523120965,India,Chordia & Partners,Smt Chordia  & Center,"Faridabad, 1038 Sector 9, Haryana","#1038 Sector 9, Faridabad, हरियाणा"
S1-546142636,S2-487600131,US,Crystal Staffing Solutions LLC,Crystal Solutions LLC Partners,"8706 Kentucky Derby Drive, Waxhaw, NC","8706 KENTUCKY DERBY DR, WAXHAW, NC"
S1-546142636,S2-582477216,US,Crystal Staffing Solutions LLC,CRYSTAL STAFFING SOLUTIONS-L.L.C.,"8706 Kentucky Derby Drive, Waxhaw, NC","8706 KENTUCKY DERBY DR, WAXHAW, NC"
S1-546142636,S2-392804085,US,Crystal Staffing Solutions LLC,LLC Crystal Sttfrifng Solutions,"8706 Kentucky Derby Drive, Waxhaw, NC","8706 KENTUCKY DERBY DRIVE, WAXHAW, NC"
S1-546142636,S3-200008747,US,Crystal Staffing Solutions LLC,Llc Crystal Staffing Solutions,"8706 Kentucky Derby Drive, Waxhaw, NC","870 Kentucky Derby Drive, Waxhaw, North Carolina"
S1-546142636,S3-729771680,US,Crystal Staffing Solutions LLC,LLC Crystal Shaffing Solutions,"8706 Kentucky Derby Drive, Waxhaw, NC","870 Kentucky Derby Drive, Waxhaw, North Carolina"
S1-546142636,S3-249331830,US,Crystal Staffing Solutions LLC,Crystal,"8706 Kentucky Derby Drive, Waxhaw, NC","8706 Kentucky Derby Drive, Waxhaw, NC"
S1-274126313,S2-736616474,US,"Obsidian, LLC","Obsidian,-LLC","3907 Hamilton Road, Deer Park, WA","3907 HAMILTON RD, DEER PARK CIYT, WA"
S1-274126313,S2-680265918,US,"Obsidian, LLC","obsidian, llc","3907 Hamilton Road, Deer Park, WA",
S1-274126313,S2-51486805,US,"Obsidian, LLC","Obsidian, LLC Center","3907 Hamilton Road, Deer Park, WA","3907 HAMILTON RD, DEER PARK CIYT, WA"
S1-274126313,S3-925631694,US,"Obsidian, LLC","Obsidian, Llc","3907 Hamilton Road, Deer Park, WA","Deer Park, Washington, Hamilton Rd"
S1-274126313,S3-461175723,US,"Obsidian, LLC","Obsidian, [[LLC]]","3907 Hamilton Road, Deer Park, WA",
S1-274126313,S3-850112871,US,"Obsidian, LLC","Korbrixx D.B.A. Obsidian, LLC","3907 Hamilton Road, Deer Park, WA","3907 Hamilton Road, Deer Park, WA"
S1-145361722,S2-120366543,US,Dick Regional Armada Corp,Dick Regional,"33466 Warwick Hills Road, Yucaipa, CA",
S1-145361722,S2-939389287,US,Dick Regional Armada Corp,Dick Regional Armada,"33466 Warwick Hills Road, Yucaipa, CA","33466 WARWICK HILLS ROAD, <NULL>, YUCAIPA, CA"
S1-145361722,S3-96572514,US,Dick Regional Armada Corp,[Corp] Dick Regional Armada,"33466 Warwick Hills Road, Yucaipa, CA","Yucaipa, California, 33466 Warwik Hills Road"
S1-503957000,S2-994658326,US,AP Hospitality Inc,AP INC SERVICE #80430,"20085 Us 23, Circleville, OH","20085 US 23, CIRCLEVILLE, OH"
S1-503957000,S2-235117490,US,AP Hospitality Inc,AP Hospitality Ínc,"20085 Us 23, Circleville, OH","20085 US 23, CIRCLEVILLE, OH"
S1-503957000,S2-353308450,US,AP Hospitality Inc,AP  Inc Hospitality,"20085 Us 23, Circleville, OH","20085 US 23, CIRCLEVILLE, OH"
S1-503957000,S2-173295926,US,AP Hospitality Inc,AP Ínc Center,"20085 Us 23, Circleville, OH","20085 US 23, CIRCLEVILLE, OH"
S1-503957000,S3-858763214,US,AP Hospitality Inc,[Inc] AP Hospitality,"20085 Us 23, Circleville, OH","20085-20089 Us 23, Circleville, Ohio"
S1-503957000,S3-33665521,US,AP Hospitality Inc,AP Hospitality Inc,"20085 Us 23, Circleville, OH","20085-20089 Us 23, Circleville, Ohio"
S1-503957000,S3-555791452,US,AP Hospitality Inc,AP AP Hospitality Incorporated,"20085 Us 23, Circleville, OH","20085-20089 Us 23, Circleville, Ohio"
S1-692000596,S2-580419223,US,"Desai, Alanah, Esq., PC","DESAI, ALANAH,-ESQ.,","584 Summer Street, Unit 1441, Holyoke, MA","SUMMER STREET, HOLLYOKE, MA"
S1-692000596,S3-164220452,US,"Desai, Alanah, Esq., PC","Desai, Alanah, Ésq.,","584 Summer Street, Unit 1441, Holyoke, MA","584 Summer Street, Holyoke, Massachusetts"
S1-561341312,S2-483615364,India,Balaji Investment Private Limited,బాలాజీ ఇన్వెస్ట్‌మెంట్ ప్రైవేట్ లిమిటెడ్,"Plot No. D-88 & D-90, Hyd, Telangana, Hyderabad, Jeedimetla","H.NO 00516 PLOT NO. D-88 & D-90, JEEDIMETLA, HYD, HYDERABAD, Telangana"
